,gt_data,creeper,depressione,fluo,keta,paro,antidep,barbi,prozac,incel,sertra,facebook,income
Alabama,24.0,100.0,84.0,75.0,58.0,80.0,80.0,81.0,81.0,36.0,77.0,91.0,49936.00000000001
Alaska,20.2,70.0,91.0,55.0,73.0,54.0,71.0,86.0,52.0,69.0,60.0,68.0,68734.0
Arizona,16.7,81.0,85.0,63.0,83.0,60.0,73.0,71.0,57.0,48.0,62.0,66.0,62283.0
Arkansas,22.5,94.0,92.0,74.0,83.0,89.0,85.0,75.0,81.0,32.0,80.0,82.0,49781.00000000001
California,15.4,70.0,87.0,48.0,73.0,44.0,62.0,55.0,47.0,61.0,49.0,52.0,70488.99999999999
Colorado,15.7,77.0,84.0,55.0,100.0,45.0,74.0,67.0,53.0,62.0,58.0,60.0,73033.99999999999
Connecticut,15.5,78.0,90.0,65.0,76.0,60.0,75.0,58.0,67.0,56.0,69.0,55.0,72812.0
Delaware,16.9,78.0,87.0,64.0,54.0,65.0,78.0,80.0,66.0,43.0,67.0,71.0,65012.0
District of Columbia,19.4,46.0,73.0,43.0,73.0,36.0,63.0,51.0,42.0,100.0,50.0,42.0,85750.0
Florida,15.6,73.0,75.0,58.0,63.0,69.0,66.0,80.0,54.0,45.0,59.0,63.0,54644.0
Georgia,17.1,74.0,79.0,63.0,50.0,65.0,69.0,62.0,68.0,41.0,65.0,71.0,55821.00000000001
Hawaii,12.6,77.0,81.0,35.0,60.0,29.0,51.0,34.0,35.0,45.0,36.0,42.0,80108.0
Idaho,19.5,94.0,90.0,75.0,79.0,52.0,87.0,62.0,68.0,35.0,68.0,74.0,58728.0
Illinois,17.7,73.0,87.0,58.0,68.0,55.0,71.0,58.0,53.0,54.0,63.0,65.0,70145.0
Indiana,19.7,87.0,94.0,71.0,60.0,70.0,82.0,69.0,71.0,42.0,75.0,79.0,59891.99999999999
Iowa,16.4,87.0,93.0,79.0,68.0,59.0,76.0,74.0,63.0,43.0,74.0,82.0,68718.0
Kansas,20.7,88.0,91.0,67.0,71.0,67.0,84.0,68.0,57.0,51.0,73.0,70.0,63938.0
Kentucky,24.0,93.0,93.0,83.0,64.0,100.0,88.0,89.0,84.0,48.0,89.0,85.0,54555.0
Louisiana,23.2,87.0,82.0,86.0,58.0,78.0,76.0,71.0,81.0,46.0,73.0,74.0,49973.0
Maine,22.8,94.0,94.0,86.0,69.0,70.0,81.0,74.0,64.0,49.0,83.0,89.0,58663.00000000001
Maryland,15.4,68.0,86.0,59.0,70.0,60.0,70.0,56.0,55.0,58.0,67.0,60.0,86223.0
Massachusetts,18.1,72.0,93.0,73.0,68.0,56.0,77.0,68.0,70.0,67.0,72.0,58.0,86345.0
Michigan,23.2,80.0,93.0,71.0,68.0,67.0,81.0,73.0,74.0,53.0,77.0,77.0,60449.0
Minnesota,17.6,84.0,94.0,70.0,79.0,51.0,82.0,59.0,66.0,60.0,71.0,65.0,71817.0
Mississippi,21.7,88.0,86.0,72.0,53.0,87.0,75.0,83.0,74.0,35.0,77.0,91.0,42781.00000000001
Missouri,22.2,83.0,90.0,74.0,68.0,70.0,79.0,68.0,69.0,48.0,74.0,72.0,61726.00000000001
Montana,21.9,74.0,90.0,86.0,87.0,62.0,88.0,70.0,78.0,48.0,62.0,89.0,57678.99999999999
Nebraska,17.3,85.0,86.0,60.0,65.0,57.0,81.0,60.0,56.0,44.0,74.0,70.0,67575.0
Nevada,15.7,59.0,80.0,46.0,68.0,48.0,62.0,74.0,43.0,53.0,47.0,60.0,61864.0
New Hampshire,20.7,83.0,93.0,86.0,73.0,68.0,87.0,75.0,78.0,65.0,78.0,72.0,81346.0
New Jersey,11.8,64.0,86.0,52.0,55.0,55.0,69.0,64.0,50.0,46.0,57.0,55.0,74176.0
New Mexico,17.2,78.0,87.0,60.0,71.0,69.0,74.0,71.0,47.0,51.0,62.0,88.0,48283.0
New York,15.1,61.0,87.0,55.0,71.0,51.0,69.0,53.0,55.0,61.0,57.0,55.0,67274.0
North Carolina,19.8,86.0,82.0,68.0,55.0,60.0,71.0,62.0,68.0,44.0,69.0,76.0,53369.0
North Dakota,19.6,72.0,85.0,70.0,92.0,54.0,94.0,54.0,60.0,44.0,64.0,77.0,66505.0
Ohio,20.0,81.0,90.0,71.0,60.0,70.0,83.0,74.0,73.0,45.0,77.0,78.0,61633.0
Oklahoma,23.3,95.0,91.0,72.0,72.0,77.0,82.0,82.0,71.0,44.0,73.0,77.0,54434.0
Oregon,26.2,91.0,94.0,65.0,76.0,58.0,91.0,49.0,64.0,84.0,63.0,62.0,69165.0
Pennsylvania,21.6,81.0,92.0,69.0,69.0,63.0,81.0,72.0,72.0,52.0,77.0,72.0,64524.0
Rhode Island,20.8,80.0,90.0,79.0,66.0,57.0,80.0,81.0,85.0,55.0,80.0,65.0,62266.00000000001
South Carolina,19.9,86.0,79.0,70.0,59.0,68.0,69.0,58.0,71.0,36.0,64.0,83.0,57443.99999999999
South Dakota,16.3,79.0,100.0,83.0,57.0,56.0,81.0,82.0,79.0,44.0,82.0,90.0,59463.0
Tennessee,25.2,90.0,84.0,71.0,69.0,81.0,79.0,80.0,69.0,44.0,79.0,85.0,56060.0
Texas,16.5,83.0,82.0,57.0,61.0,59.0,65.0,64.0,53.0,45.0,61.0,63.0,59785.0
Utah,24.3,91.0,99.0,81.0,95.0,47.0,95.0,65.0,74.0,45.0,71.0,53.0,77067.0
Vermont,21.2,85.0,96.0,94.0,90.0,64.0,86.0,47.0,81.0,70.0,73.0,80.0,70066.0
Virginia,16.6,85.0,87.0,64.0,61.0,54.0,73.0,61.0,67.0,64.0,67.0,64.0,77151.00000000001
Washington,23.6,80.0,88.0,63.0,76.0,47.0,82.0,57.0,60.0,71.0,64.0,63.0,79726.0
West Virginia,26.6,84.0,99.0,100.0,66.0,98.0,100.0,100.0,100.0,39.0,100.0,100.0,50573.0
Wisconsin,19.6,83.0,90.0,70.0,64.0,53.0,79.0,66.0,49.0,47.0,73.0,73.0,62629.0
Wyoming,17.9,81.0,86.0,65.0,62.0,48.0,91.0,79.0,61.0,28.0,54.0,86.0,62538.99999999999
