,gt_data,creeper,depressione,fluo,keta,paro,antidep,barbi,prozac,incel,sertra,facebook,income
Alabama,22.0,100.0,78.0,77.0,59.0,82.0,81.0,70.0,76.0,30.0,81.0,98.0,47221.0
Alaska,14.2,71.0,78.0,49.0,66.0,55.0,74.0,61.0,45.0,,57.0,62.0,75723.0
Arizona,16.7,85.0,79.0,61.0,63.0,56.0,68.0,57.0,56.0,39.0,63.0,70.0,57100.0
Arkansas,23.7,95.0,87.0,74.0,53.0,80.0,83.0,67.0,71.0,27.0,82.0,96.0,45907.0
California,13.5,73.0,76.0,48.0,65.0,45.0,56.0,46.0,49.0,32.0,53.0,57.0,66637.0
Colorado,18.5,75.0,80.0,57.0,100.0,43.0,76.0,57.0,57.0,49.0,61.0,61.0,70566.0
Connecticut,15.9,79.0,84.0,66.0,70.0,54.0,77.0,58.0,68.0,41.0,75.0,55.0,75923.0
Delaware,16.6,74.0,78.0,54.0,65.0,58.0,66.0,80.0,60.0,67.0,65.0,68.0,58046.00000000001
District of Columbia,16.7,58.0,70.0,60.0,72.0,43.0,63.0,50.0,59.0,33.0,70.0,51.0,70982.0
Florida,14.2,74.0,69.0,58.0,59.0,64.0,62.0,71.0,55.0,27.0,61.0,68.0,51176.0
Georgia,16.6,79.0,73.0,66.0,52.0,66.0,64.0,62.0,66.0,26.0,71.0,79.0,53527.0
Hawaii,12.1,74.0,71.0,37.0,50.0,31.0,55.0,49.0,35.0,31.0,40.0,44.0,72133.0
Idaho,15.2,89.0,86.0,69.0,51.0,53.0,86.0,62.0,72.0,32.0,74.0,71.0,56563.99999999999
Illinois,16.5,70.0,80.0,57.0,62.0,57.0,67.0,52.0,54.0,29.0,71.0,68.0,61386.0
Indiana,15.9,85.0,87.0,70.0,59.0,64.0,79.0,64.0,70.0,27.0,79.0,81.0,56093.99999999999
Iowa,14.8,87.0,88.0,73.0,52.0,54.0,75.0,48.0,65.0,22.0,74.0,76.0,59093.99999999999
Kansas,16.5,81.0,79.0,54.0,56.0,51.0,74.0,57.0,53.0,18.0,68.0,71.0,56810.0
Kentucky,23.2,89.0,92.0,87.0,68.0,84.0,85.0,78.0,87.0,25.0,97.0,88.0,45369.0
Louisiana,19.9,91.0,76.0,77.0,54.0,71.0,71.0,73.0,80.0,27.0,75.0,78.0,42196.00000000001
Maine,21.1,92.0,89.0,86.0,63.0,61.0,74.0,47.0,76.0,36.0,92.0,81.0,50856.0
Maryland,15.4,73.0,82.0,60.0,72.0,50.0,70.0,50.0,59.0,39.0,69.0,63.0,73760.0
Massachusetts,18.7,70.0,86.0,72.0,71.0,55.0,72.0,60.0,75.0,51.0,79.0,57.0,72266.0
Michigan,22.0,76.0,86.0,68.0,70.0,64.0,74.0,62.0,70.0,37.0,82.0,77.0,57091.0
Minnesota,17.2,81.0,86.0,72.0,59.0,49.0,75.0,54.0,67.0,35.0,79.0,62.0,70218.0
Mississippi,18.8,94.0,80.0,77.0,48.0,81.0,69.0,77.0,83.0,20.0,80.0,96.0,41099.0
Missouri,21.7,84.0,83.0,69.0,58.0,69.0,73.0,68.0,68.0,22.0,76.0,74.0,55016.00000000001
Montana,19.5,79.0,86.0,71.0,64.0,43.0,94.0,79.0,68.0,37.0,71.0,84.0,57075.0
Nebraska,17.8,82.0,81.0,62.0,63.0,62.0,75.0,47.0,56.0,30.0,75.0,68.0,59373.99999999999
Nevada,17.2,66.0,72.0,44.0,57.0,42.0,58.0,63.0,44.0,10.0,57.0,68.0,55431.00000000001
New Hampshire,22.1,87.0,91.0,77.0,56.0,60.0,82.0,53.0,81.0,22.0,87.0,66.0,76260.0
New Jersey,12.2,68.0,77.0,52.0,66.0,55.0,64.0,54.0,54.0,34.0,60.0,55.0,68468.0
New Mexico,18.3,87.0,90.0,57.0,97.0,56.0,73.0,65.0,50.0,18.0,66.0,98.0,48451.0
New York,11.7,60.0,78.0,53.0,72.0,48.0,65.0,53.0,53.0,35.0,60.0,57.0,61437.0
North Carolina,18.3,94.0,77.0,68.0,55.0,56.0,67.0,65.0,69.0,33.0,76.0,78.0,53763.99999999999
North Dakota,15.0,64.0,92.0,79.0,49.0,50.0,100.0,62.0,62.0,45.0,78.0,75.0,60184.0
Ohio,17.4,82.0,86.0,70.0,60.0,68.0,77.0,66.0,72.0,25.0,84.0,78.0,53985.0
Oklahoma,22.0,97.0,85.0,73.0,55.0,68.0,83.0,72.0,72.0,25.0,82.0,82.0,50943.00000000001
Oregon,25.0,84.0,82.0,58.0,74.0,51.0,79.0,51.0,57.0,47.0,60.0,61.0,59135.0
Pennsylvania,18.7,78.0,89.0,69.0,75.0,62.0,78.0,62.0,72.0,31.0,87.0,69.0,60979.0
Rhode Island,22.3,78.0,90.0,86.0,62.0,53.0,80.0,61.0,94.0,65.0,90.0,66.0,61528.0
South Carolina,20.5,92.0,75.0,75.0,51.0,62.0,73.0,57.0,79.0,23.0,71.0,90.0,54336.00000000001
South Dakota,15.7,76.0,98.0,76.0,60.0,51.0,86.0,58.0,72.0,66.0,75.0,75.0,57450.0
Tennessee,21.1,90.0,79.0,75.0,63.0,81.0,78.0,74.0,74.0,15.0,85.0,88.0,51343.99999999999
Texas,12.5,81.0,72.0,54.0,48.0,53.0,60.0,56.0,52.0,23.0,64.0,71.0,58146.0
Utah,21.5,78.0,92.0,76.0,73.0,41.0,80.0,64.0,76.0,39.0,77.0,55.0,67481.00000000001
Vermont,22.2,93.0,89.0,100.0,74.0,60.0,90.0,50.0,78.0,96.0,100.0,69.0,60836.99999999999
Virginia,15.9,87.0,81.0,62.0,61.0,49.0,70.0,56.0,67.0,38.0,71.0,63.0,66451.00000000001
Washington,21.0,75.0,81.0,61.0,66.0,42.0,73.0,52.0,59.0,33.0,66.0,64.0,70310.0
West Virginia,23.8,92.0,100.0,87.0,62.0,100.0,87.0,100.0,100.0,24.0,94.0,100.0,44354.0
Wisconsin,16.7,81.0,84.0,70.0,64.0,49.0,72.0,52.0,59.0,33.0,78.0,70.0,59817.0
Wyoming,15.5,84.0,85.0,65.0,80.0,47.0,80.0,35.0,52.0,100.0,65.0,83.0,57828.99999999999
